Title	Description
Black Leviathan (Novella)	Damocles is an anthology released by the Black Library, a tie-in to Apocalypse, collecting four novellas taking place during the Second Damocles Gulf Crusade. It was later republished as part of the Space Marine Battles novel series. Two centuries ago, the Imperium of Man and the upstart Tau Empire fought to a standstill in the Damocles Gulf. Now, as the 41st millennium draws to a close, the tau have returned. As the world of Agrellan falls under attack, the White Scars and Raven Guard rush to its defence, but with the skilled Commander Shadowsun leading the alien forces, the Space Marines and their allies are hard pressed. Kor'sarro Khan, Huntmaster of the White Scars, swears that he will win the day in the most direct way possible – by taking Shadowsun's head.
Sons of the Kraken	The Sons of the Kraken are a Space Marine Chapter. They were part of a Space Marine relief force that helped to end the civil war that engulfed the Imperium world of Magdellan Prime.
ShadowhawksShort Story)		The Shadow Hawks are a Space Marine Chapter. The Shadow Hawks' power armour is charcoal-grey with a red helmet. They have recently been on a campaign against the Eldar.
Flesh Tearers	The Flesh Tearers are a Second Founding chapter, created when the Blood Angels legion split up after the Horus Heresy in accordance with the Codex Astartes. They suffer from a mutation in their gene-seed, making them far more prone to suffer the Black Rage than other chapters with Blood Angels gene-seed. If no cure is found the chapter is likely to be extinct within the next two millennia. The Flesh Tearers are also ill-famed for their savageness and thirst for blood in battle. The Flesh Tearers Chapter was created in M31 when Roboute Guilliman decreed in his Codex Astartes that no longer should a single individual control the might of an entire Space Marine Legion. Thus, the Blood Angels were divided into several Successor Chapters; one of these being the Flesh Tearers under Chapter Master Nassir Amit. Their reputation for blood-letting quickly spread in the aftermath of the Horus Heresy, indicating that the extensive flaw in their gene-seed was already present at their creation. Instead of checking the rumours of entire populations wiped out, the High Lords of Terra simply looked at the long list of worlds pacified and dismissed the accompanying casualty lists as inconsequential.[Needs Citation] Amit and his followers were still reeling from the death of Sanguinius during the Siege of Terra, and they eventually gave into their resentment and anger. After years as a crusading chapter, Nassir Amit eventually settled the Flesh Tearers on an extremely hostile Death World known as Cretacia. A lost colony of primordial humans proved perfect recruits for the chapter, being pure of taint and extremely strong. Amit became obsessed with Cretacia, believing it to be the manifestation of the Flesh Tearers' own nature, hoping that if he could tame its peaks he could temper the edges of his own fury.
Knights Oceanus	The Knights Oceanus are a Space Marine Chapter. Instead of fighting together, each member of the Knights Oceanus fights as an individual. This extends to the Chapter's culture as well, as their Battle Brothers value their own heraldry over the iconography dictated by the Codex Astartes. While each is unique, they all wear their heraldry over weathered metal power armor, to give them a knightly appearance. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here.
Red Legion	The Red Legion are a Space Marine Codex Chapter of unknown origin.
Lions Defiant	The Lions Defiant are a loyalist Space Marine Chapter of the Imperium. In 992999.M41, their own homeworld was lost in rebellions that spread across much of Segmentum Pacificus.
Regents of Gheren	The Regents of Gheren are a Space Marine Chapter. In M42, the Chapter sent aid to the Sons of Galathor's Homeworld, Throne of Galat, after it was invaded. However the Regents of Gheren's forces were attacked before they could reach Throne of Galat and are currently in battle.
Prandium Consul	The Prandium Consul are a Space Marine Chapter.
White Dwarf March 2020	White Dwarf is Games Workshop's premium Warhammer magazine, packed with amazing content each month such as new rules and background, short stories, regular columns, special guests and more. Since January 2020, the magazine is again issued under a serial number, given the numbering from previous months. Contact! Letters, questions and painted models from you, our readers. Plus, White Dwarf goes adventuring.
Void Axes	The Void Axes are a Space Marine Chapter. In M42, the Chapter sent aid to the Night Sentinels' Homeworld, Lychnos, after it was invaded. However contact was lost with the Void Axes' forces before they reached Lychnos.
Outrider Chapter	The Outrider Chapter is a Space Marine Chapter. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here.
Knights Ophidian	The Knights Ophidian are a Black Templars Successor Chapter. They began as the Knights Ophidian Crusade, until their fleet was later lost to the Hydra's Maw Warp Storm for years beyond count. Sometime after they emerged from the Hydra's Maw, the Knights Ophidian became a Successor Chapter to the Black Templars. They currently only have three operational Thunderhawks at their command, which includes the Serpentis Rex. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here.
Rhetors	The Rhetors are a Space Marine Chapter.
